,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
0,2020 PESCADERO CREEK ROAD,PESCADERO,CA,94060,37.251275096345125,-122.38258084964485
1,15431 HORNBROOK ROAD,HORNBROOK,CA,96044,41.907813753700566,-122.55813119728907
2,33735 NARY RED ROAD,ALTA,CA,95701,39.20900397872299,-120.81550802707727
3,160 STATION WAY,ARROYO GRANDE,CA,93420,35.121790824650475,-120.58003494827614
4,1836 OLD ARCATA ROAD,BAYSIDE,CA,95524,40.842763882437055,-124.0634773678691
5,22515 OLD ALTURAS ROAD,BELLA VISTA,CA,96008,40.6363969473407,-122.239259510284
6,30487 HOT SPRINGS ROAD,BIG BEND,CA,96011,41.01967096966246,-121.9117753732923
7,55083 POINT ROAD,BIG CREEK,CA,93605,37.204825236000545,-119.2475015190945
8,39550 OLD HIGHWAY 80,BOULEVARD,CA,91905,32.66863520137497,-116.29704225284087
9,5534 MARYSVILLE ROAD,BROWNS VALLEY,CA,95918,39.23963975055045,-121.40975674282157
10,18040 OREGON HILL ROAD,CHALLENGE,CA,95925,39.4840428241294,-121.22102875665615
11,16595 STATE HIGHWAY 175,COBB,CA,95426,38.82112320224172,-122.7202275553708
12,3181 IOWA HILL ROAD,COLFAX,CA,95713,39.10697282679803,-120.86048886242412
13,1041 NORTHSIDE DRIVE,COOL,CA,95614,38.88908585734458,-121.01527686530886
14,405 MAIN STREET,COPPEROPOLIS,CA,95228,37.97972877229773,-120.63966732214192
15,6320 WEBSTER ROAD,CRESTON,CA,93432,35.51878251257597,-120.52463788586209
16,17015 STATE HIGHWAY 94,DULZURA,CA,91917,32.64399522849652,-116.78101416979797
17,39400 DUNLAP ROAD,DUNLAP,CA,93621,36.73758091797578,-119.11791441825397
18,160 CHURCH STREET,ELK CREEK,CA,95939,39.605505373940844,-122.54014398169198
19,28981 ALESSANDRO BOULEVARD,MORENO VALLEY,CA,92555,33.917166098395285,-117.15703100879762
20,21300 ALMADEN ROAD,SAN JOSE,CA,95120,37.17923906312359,-121.81787994322974
21,33173 ROAD 222,NORTH FORK,CA,93643,37.23028057658604,-119.5096079541043
22,6101 GUSHEE STREET,FELTON,CA,95018,37.04967292165804,-122.07454509387298
