,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE
0,23 EAST NAPLES STREET,WAYLAND,NY,14572,42.56757289121816,-77.59002502542188
1,635 COUNTY ROAD 115,LINDLEY,NY,14858,42.027371486848324,-77.13971182299588
2,51 GATES AVENUE,VICTORY MILLS,NY,12884,43.08795517582706,-73.59376283787486
3,3B LAKE DESOLATION ROAD,MIDDLE GROVE,NY,12850,43.09016328832365,-73.91815742591302
4,227 MAIN STREET,CERES,NY,14721,41.99978793168282,-78.26861121916028
5,63 NORTH MAIN STREET,ALFRED,NY,14802,42.25659459586751,-77.78980023865347
6,1 VILLAGE SQUARE,HANNIBAL,NY,13074,43.320585418174346,-76.57849721865864
7,5640 NORMAN AVENUE,MEXICO,NY,13114,43.45970431170838,-76.23643264418962
8,22 STATE ROUTE 42,SHANDAKEN,NY,12480,42.12050210337043,-74.39581186787996
9,8279 STATE ROUTE 28,BIG INDIAN,NY,12410,42.103060491939175,-74.4447153219707
10,100 MAIN STREET,CANTON,NY,13617,44.59532706619564,-75.16916790417952
11,8 SPRING STREET,FINE,NY,13639,44.248433422984135,-75.138607351102
12,5640 STATE HIGHWAY 414,HECTOR,NY,14841,42.50640751214644,-76.87580651090548
13,4894 COUNTY HIGHWAY 26,WAYNE,NY,14893,42.47009614241114,-77.10554046159058
14,622 CHURCH ROAD,OLMSTEDVILLE,NY,12857,43.77118216434991,-73.93146237380904
15,3665 ESSEX ROAD SUITE 2,WILLSBORO,NY,12996,44.35713403948205,-73.3890515111093
16,130 GREENE AVENUE,SAYVILLE,NY,11782,40.73537770760373,-73.08563884595526
17,110 EAST SUFFOLK AVENUE,CENTRAL ISLIP,NY,11722,40.79312828668077,-73.19381355620402
18,3444 STATE HIGHWAY 28,BLUE MOUNTAIN LAKE,NY,12812,43.85427316942935,-74.43645320219179
19,1 FOUR CORS,SPECULATOR,NY,12164,43.50285222934974,-74.3645702512618
20,3393 STATE HIGHWAY 82,VERBANK,NY,12585,41.729562940435585,-73.71561302310243
21,2337 STATE HIGHWAY 9D,HUGHSONVILLE,NY,12537,41.58059557295849,-73.93044852172727
22,7 RIVER STREET,OTEGO,NY,13825,42.39688046439977,-75.17247606667439
23,4 BRIDGE STREET,UNADILLA,NY,13849,42.32434652076233,-75.3168133841587
24,2 LOWER CREEK ROAD,ETNA,NY,13062,42.48532349551249,-76.38571666999957
25,46 MAIN STREET,FREEVILLE,NY,13068,42.51200348922106,-76.35117067942815
26,563 NEW SCOTLAND AVENUE,ALBANY,NY,12208,42.6566573650382,-73.80160349380225
27,96 MAIN STREET,COEYMANS,NY,12045,42.47432981011286,-73.79243938964981
28,1325 STATE ROUTE 104,STERLING,NY,13156,43.32575049629128,-76.64642950396984
29,100 SOUTH MAIN STREET,MORAVIA,NY,13118,42.710452455579684,-76.42101864181973
30,183 ELKA PARK ROAD,ELKA PARK,NY,12427,42.17121246787502,-74.15000041305314
